,Event,Time,Temperature,Time_subseconds,Date,Time_round,Time_in_seconds
225,TOUCH_OFF,20:32:28.780,0,73948.780029,2024-06-08,20:32:29,73949
226,TEMPERATURE_ON,20:32:28.670,999,73948.670929,2024-06-08,20:32:29,73949
227,TEMPERATURE_OFF,20:32:28.780,1008,73948.780029,2024-06-08,20:32:29,73949
228,TOUCH_ON,20:32:28.929,0,73948.929504,2024-06-08,20:32:29,73949
229,TOUCH_OFF,20:32:29.428,0,73949.428406,2024-06-08,20:32:29,73949
230,TEMPERATURE_ON,20:32:28.929,999,73948.929504,2024-06-08,20:32:29,73949
231,TEMPERATURE_OFF,20:32:29.428,1008,73949.428406,2024-06-08,20:32:29,73949
232,PUFF_ON,20:32:31.382,0,73951.382019,2024-06-08,20:32:31,73951
233,PUFF_OFF,20:32:32.427,0,73952.427277,2024-06-08,20:32:32,73952
234,TEMPERATURE_ON,20:32:31.382,1001,73951.382019,2024-06-08,20:32:31,73951
235,TEMPERATURE_OFF,20:32:32.427,1007,73952.427277,2024-06-08,20:32:32,73952
236,TOUCH_ON,20:32:31.017,0,73951.017487,2024-06-08,20:32:31,73951
237,TOUCH_OFF,20:32:34.435,0,73954.435471,2024-06-08,20:32:34,73954
238,TEMPERATURE_ON,20:32:31.017,1001,73951.017487,2024-06-08,20:32:31,73951
239,TEMPERATURE_OFF,20:32:34.435,1007,73954.435471,2024-06-08,20:32:34,73954
240,TOUCH_ON,20:32:35.038,0,73955.038162,2024-06-08,20:32:35,73955
241,TOUCH_OFF,20:32:35.291,0,73955.291092,2024-06-08,20:32:35,73955
242,TEMPERATURE_ON,20:32:35.038,1001,73955.038162,2024-06-08,20:32:35,73955
243,TEMPERATURE_OFF,20:32:35.291,1007,73955.291092,2024-06-08,20:32:35,73955
244,PUFF_ON,20:32:36.005,0,73956.005371,2024-06-08,20:32:36,73956
245,PUFF_OFF,20:32:37.016,0,73957.016815,2024-06-08,20:32:37,73957
246,TEMPERATURE_ON,20:32:36.005,1003,73956.005371,2024-06-08,20:32:36,73956
247,TEMPERATURE_OFF,20:32:37.016,1008,73957.016815,2024-06-08,20:32:37,73957
248,TOUCH_ON,20:32:37.311,0,73957.311386,2024-06-08,20:32:37,73957
249,TOUCH_OFF,20:32:48.254,0,73968.254181,2024-06-08,20:32:48,73968
250,TEMPERATURE_ON,20:32:37.311,1003,73957.311386,2024-06-08,20:32:37,73957
251,TEMPERATURE_OFF,20:32:48.254,1008,73968.254181,2024-06-08,20:32:48,73968
252,TOUCH_ON,20:32:50.561,0,73970.561081,2024-06-08,20:32:51,73971
253,TOUCH_OFF,20:33:06.631,0,73986.631287,2024-06-08,20:33:07,73987
254,TEMPERATURE_ON,20:32:50.561,1003,73970.561081,2024-06-08,20:32:51,73971
255,TEMPERATURE_OFF,20:33:06.631,1008,73986.631287,2024-06-08,20:33:07,73987
256,TOUCH_ON,20:33:09.144,0,73989.14473,2024-06-08,20:33:09,73989
257,TOUCH_OFF,20:33:12.253,0,73992.25354,2024-06-08,20:33:12,73992
258,TEMPERATURE_ON,20:33:09.144,1003,73989.14473,2024-06-08,20:33:09,73989
259,TEMPERATURE_OFF,20:33:12.253,1008,73992.25354,2024-06-08,20:33:12,73992
260,PUFF_ON,20:33:13.428,0,73993.42836,2024-06-08,20:33:13,73993
261,PUFF_OFF,20:33:14.753,0,73994.753082,2024-06-08,20:33:15,73995
262,TEMPERATURE_ON,20:33:13.428,998,73993.42836,2024-06-08,20:33:13,73993
263,TEMPERATURE_OFF,20:33:14.753,1009,73994.753082,2024-06-08,20:33:15,73995
264,TOUCH_ON,20:33:12.752,0,73992.752762,2024-06-08,20:33:13,73993
265,TOUCH_OFF,20:33:14.915,0,73994.915848,2024-06-08,20:33:15,73995
266,TEMPERATURE_ON,20:33:12.752,998,73992.752762,2024-06-08,20:33:13,73993
267,TEMPERATURE_OFF,20:33:14.915,1009,73994.915848,2024-06-08,20:33:15,73995
268,TOUCH_ON,20:33:18.128,0,73998.128738,2024-06-08,20:33:18,73998
269,TOUCH_OFF,20:33:23.558,0,74003.558167,2024-06-08,20:33:24,74004
270,TEMPERATURE_ON,20:33:18.128,998,73998.128738,2024-06-08,20:33:18,73998
271,TEMPERATURE_OFF,20:33:23.558,1009,74003.558167,2024-06-08,20:33:24,74004
272,PUFF_ON,20:33:24.775,0,74004.775299,2024-06-08,20:33:25,74005
273,PUFF_OFF,20:33:25.803,0,74005.803528,2024-06-08,20:33:26,74006
274,TEMPERATURE_ON,20:33:24.775,1002,74004.775299,2024-06-08,20:33:25,74005
275,TEMPERATURE_OFF,20:33:25.803,1009,74005.803528,2024-06-08,20:33:26,74006
276,TOUCH_ON,20:33:32.810,0,74012.810455,2024-06-08,20:33:33,74013
277,TOUCH_OFF,20:33:33.411,0,74013.411911,2024-06-08,20:33:33,74013
278,TEMPERATURE_ON,20:33:32.810,1002,74012.810455,2024-06-08,20:33:33,74013
279,TEMPERATURE_OFF,20:33:33.411,1009,74013.411911,2024-06-08,20:33:33,74013
